epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7139,2.05609,3.83702,1.44305,0.08285,0.2507,0.10856,0.05906,1.58774,2.7268,1.215,0.000413793,0.000413793,0.000413793
2,103.728,1.60301,2.62216,1.18065,0.43374,0.25906,0.2031,0.11534,1.43071,2.27395,1.16997,0.000803055,0.000803055,0.000803055
3,154.045,1.44954,2.43591,1.15037,0.4822,0.24623,0.22744,0.13872,1.41844,2.21081,1.17229,0.00116482,0.00116482,0.00116482
4,205.453,1.43806,2.30563,1.12085,0.45525,0.31135,0.24478,0.14314,1.35308,2.06581,1.16471,0.00112625,0.00112625,0.00112625
5,274.734,1.41011,2.22825,1.13081,0.73205,0.31596,0.24559,0.14219,1.37819,2.0398,1.17334,0.001085,0.001085,0.001085
6,364.778,1.38935,2.14521,1.10753,0.25141,0.43762,0.28572,0.1682,1.3111,1.95894,1.1344,0.00104375,0.00104375,0.00104375
7,443.758,1.35224,2.12404,1.10737,0.50363,0.34883,0.28106,0.17938,1.26445,1.92158,1.12098,0.0010025,0.0010025,0.0010025
8,518.414,1.31063,2.07738,1.11445,0.2485,0.4724,0.28793,0.17637,1.32079,1.85407,1.15227,0.00096125,0.00096125,0.00096125
9,576.487,1.24855,2.00893,1.06525,0.32482,0.37005,0.28391,0.17105,1.28931,2.02557,1.13181,0.00092,0.00092,0.00092
10,639.182,1.26594,1.98935,1.07529,0.24357,0.43788,0.29703,0.18701,1.25288,1.8289,1.10375,0.00087875,0.00087875,0.00087875
11,701.804,1.22381,1.93972,1.05604,0.2334,0.42272,0.30122,0.18053,1.25713,1.91551,1.10455,0.0008375,0.0008375,0.0008375
12,758.33,1.23064,1.94387,1.06859,0.2774,0.39216,0.31431,0.19755,1.21905,1.8569,1.09332,0.00079625,0.00079625,0.00079625
13,817.765,1.20912,1.88031,1.04314,0.28267,0.40971,0.31044,0.20391,1.2425,1.798,1.10808,0.000755,0.000755,0.000755
14,879.059,1.17847,1.82021,1.04128,0.26807,0.42517,0.3052,0.19763,1.25175,1.83146,1.09247,0.00071375,0.00071375,0.00071375
15,937.636,1.15683,1.75871,1.02431,0.56837,0.41086,0.33062,0.2216,1.20139,1.81627,1.07597,0.0006725,0.0006725,0.0006725
16,997.26,1.14966,1.72658,1.02396,0.2505,0.49374,0.30781,0.19689,1.20797,1.82824,1.07801,0.00063125,0.00063125,0.00063125
17,1075.96,1.13019,1.71662,1.02059,0.26305,0.45106,0.3096,0.2004,1.20676,1.81487,1.07687,0.00059,0.00059,0.00059
18,1179.92,1.10182,1.66786,1.01475,0.26579,0.55348,0.31544,0.20519,1.18586,1.81116,1.07705,0.00054875,0.00054875,0.00054875
19,1281.8,1.08674,1.61636,1.0148,0.28526,0.40958,0.2998,0.19611,1.19258,1.81851,1.07802,0.0005075,0.0005075,0.0005075
20,1378.52,1.12589,1.64353,1.01979,0.26093,0.37001,0.30518,0.19778,1.22887,1.7875,1.10002,0.00046625,0.00046625,0.00046625
21,1472.27,1.08046,1.6614,1.01051,0.27698,0.43019,0.30255,0.19662,1.22388,1.772,1.09017,0.000425,0.000425,0.000425
22,1546.66,1.03755,1.58148,1.01667,0.42508,0.37647,0.32159,0.20993,1.20165,1.80235,1.08089,0.00038375,0.00038375,0.00038375
23,1618.16,1.03589,1.58897,0.99684,0.45029,0.35856,0.32609,0.20728,1.1963,1.80444,1.06817,0.0003425,0.0003425,0.0003425
24,1692.92,1.03725,1.55381,0.9818,0.40552,0.39303,0.32358,0.20487,1.20255,1.79004,1.08129,0.00030125,0.00030125,0.00030125
25,1774.55,0.98051,1.49081,0.97766,0.51157,0.40641,0.341,0.21853,1.20556,1.79414,1.0771,0.00026,0.00026,0.00026
